省级行政区,个数,地级行政区,县级行政区,景点名称,批次（按公布时间）
,,,,,2016/08/03撤销橘子洲旅游区5A等级
,,,,,
,,,,,2017/12/18恢复橘子洲旅游区5A等级
,,,宁乡市,花明楼景区,2013/11/26
,,岳阳市,岳阳楼区,岳阳楼（岳阳楼—君山岛景区）,2011/9/6
,,,君山区,君山岛（岳阳楼—君山岛景区）,2011/9/6
,,湘潭市,韶山市,韶山旅游区,2011/9/6
,,郴州市,资兴市,东江湖旅游区,2015/7/13
,,邵阳市,新宁县,崀山景区,2016/8/3
,,株洲市,炎陵县,炎帝陵景区,2020/01/07[8]
,,常德市,桃源县,桃花源旅游区,2020/12/29
,,湘西土家族苗族自治州,吉首市,矮寨（矮寨·十八洞·德夯大峡谷景区）,2021/6/9
,,,,德夯大峡谷（矮寨·十八洞·德夯大峡谷景区）,2021/6/9
,,,花垣县,十八洞（矮寨·十八洞·德夯大峡谷景区）,2021/6/9
,,,凤凰县,凤凰古城旅游区,2024/2/6
广东省,16,广州市,番禺区,长隆旅游度假区,2007/05/08[7]
,,,白云区,白云山风景区,2011/1/21
,,深圳市,南山区,深圳华侨城旅游度假区,2007/05/08[7]
,,,龙华区,观澜湖休闲旅游区,2011/05/05[9]
,,佛山市,南海区,西樵山景区,2013/1/14
,,,顺德区,长鹿旅游休博园,2014/11/28
,,韶关市,仁化县,丹霞山景区,2012/1/9
,,梅州市,梅县区,雁南飞茶田景区,2011/1/21
,,惠州市,博罗县,罗浮山景区,2013/12/19
,,,惠城区,惠州西湖旅游景区,2018/10/29
,,中山市,,孙中山故里旅游区,2016/11/4
,,江门市,开平市,开平碉楼文化旅游区,2020/12/29
,,阳江市,江城区,海陵岛大角湾海上丝路旅游区,2015/10/15
,,肇庆市,端州区,星湖旅游景区,2020/01/07[8]
,,清远市,连州市,连州地下河旅游景区,2011/9/6
,,河源市,东源县,万绿湖风景区,2024/12/27
广西壮族自治区,11,桂林市,阳朔县,漓江景区,2007/05/08[7]
,,,兴安县,乐满地度假世界,2007/05/08[7]
,,,秀峰区,独秀峰－王城景区,2012/11/6
,,,,两江四湖（两江四湖·象山景区）,2017/2/25
,,,象山区,象山（两江四湖·象山景区）,2017/2/25
,,崇左市,大新县,德天跨国瀑布景区,2018/10/29
,,,宁明县,花山岩画景区,2024/12/27
,,百色市,右江区,百色起义纪念园景区,2020/01/07[8]
,,南宁市,青秀区,青秀山旅游区,2014/11/28
,,北海市,海城区,涠洲岛南湾鳄鱼山景区,2020/12/29
,,贺州市,昭平县,黄姚古镇景区,2022/7/15
,,柳州市,三江侗族自治县,程阳八寨景区,2024/2/6
海南省,7,三亚市,崖州区,南山文化旅游区,2007/05/08[7]
,,,,南山大小洞天旅游区,2007/05/08[7]
,,,海棠区,蜈支洲岛旅游区,2016/11/4
,,,天涯区,天涯海角游览区,2024/2/6
,,,陵水县,分界洲岛旅游区,2013/1/14
,,,保亭县,呀诺达雨林文化旅游区,2012/1/20
,,,,槟榔谷黎苗文化旅游区,2015/7/13
重庆市,12,,大足区,重庆大足石刻景区,2007/05/08[7]
,,,巫山县,重庆小三峡-小小三峡,2007/05/08[7]
,,,武隆区,武隆喀斯特旅游区（天生三桥、仙女山、芙蓉洞),2011/7/6
,,,南川区,金佛山-神龙峡景区,2013/10/11
,,,,,2016/08/03撤销神龙峡景区5A等级
,,,酉阳土家族苗族自治县,酉阳桃花源景区,2012/1/20
,,,綦江区,黑山谷景区,2012/10/11
,,,江津区,江津四面山景区,2015/10/15
,,,云阳县,云阳龙缸景区,2017/2/25
,,,彭水县,阿依河景区,2020/01/07[8]
,,,黔江区,濯水景区,2020/12/29
,,,奉节县,白帝城·瞿塘峡景区,2022/7/15
,,,涪陵区,武陵山大裂谷景区,2024/2/6
四川省,18,成都市,都江堰市,青城山—都江堰旅游景区,2007/05/08[7]
,,,大邑县,安仁古镇景区,2022/7/15
,,,邛崃市,天台山景区,2024/12/27
